isbn,title,author_name,genre,publication_year,available_copies
9784062632737,Ringworld,Larry Niven,Science Fiction,1970,4
9787332461396,Ender's Game,Orson Scott Card,Science Fiction,1985,1
9782407892648,Hyperion,Dan Simmons,Science Fiction,1989,2
9780660714523,A Fire Upon the Deep,Vernor Vinge,Science Fiction,1992,3
9782079741893,Revelation Space,Alastair Reynolds,Science Fiction,2000,4
9785075942776,Consider Phlebas,Iain M. Banks,Science Fiction,1987,1
9787192819672,Ancillary Justice,Ann Leckie,Science Fiction,2013,2
9781954438248,Old Man's War,John Scalzi,Science Fiction,2005,3
9785027808402,"The Long Way to a Small, Angry Planet",Becky Chambers,Science Fiction,2014,4
9784366734052,Children of Time,Adrian Tchaikovsky,Science Fiction,2015,1
9787874876214,Leviathan Wakes,James S.A. Corey,Science Fiction,2011,2
9787884210442,Red Rising,Pierce Brown,Science Fiction,2014,3
9784700226564,The Blade Itself,Joe Abercrombie,Fantasy,2006,4
9788863263374,The Lies of Locke Lamora,Scott Lynch,Fantasy,2006,1
9789601273204,Tigana,Guy Gavriel Kay,Fantasy,1990,2
9785162205661,The Eye of the World,Robert Jordan,Fantasy,1990,3
9780095666800,The Exorcist,William Peter Blatty,Horror,1971,4
9780036581063,Rosemary's Baby,Ira Levin,Horror,1967,1
9789070011192,The Andromeda Strain,Michael Crichton,Science Fiction,1969,2
9782103883223,Jurassic Park,Michael Crichton,Science Fiction,1990,3
9783650057662,The Hunt for Red October,Tom Clancy,Thriller,1984,4
9789486488984,Raise the Titanic!,Clive Cussler,Adventure,1976,1
9783125914896,Watchers,Dean Koontz,Horror,1987,2
9780078312014,Coma,Robin Cook,Thriller,1977,3
9782770075259,The Firm,John Grisham,Thriller,1991,4
9787139683434,A Time to Kill,John Grisham,Thriller,1989,1
9780717571802,Presumed Innocent,Scott Turow,Thriller,1987,2
9787307688636,Absolute Power,David Baldacci,Thriller,1996,3
9783840788178,The Bone Collector,Jeffery Deaver,Thriller,1997,4
9784038989599,A Is for Alibi,Sue Grafton,Mystery,1982,1
9787054817617,Indemnity Only,Sara Paretsky,Mystery,1982,2
9780892383702,One for the Money,Janet Evanovich,Mystery,1994,3
9788942813025,Devil in a Blue Dress,Walter Mosley,Mystery,1990,4
9784949110167,L.A. Confidential,James Ellroy,Mystery,1990,1
9786048209971,Mystic River,Dennis Lehane,Mystery,2001,2
9784862498304,"Gone, Baby, Gone",Dennis Lehane,Mystery,1998,3
9789899131125,Faceless Killers,Henning Mankell,Mystery,1991,4
9783693689783,The Snowman,Jo Nesbo,Thriller,2007,1
9789224634680,The Devotion of Suspect X,Keigo Higashino,Mystery,2005,2
9781510910461,Big Little Lies,Liane Moriarty,Fiction,2014,3
9786554292832,My Sister's Keeper,Jodi Picoult,Fiction,2004,4
9788043844973,The Forgotten Garden,Kate Morton,Mystery,2008,1
9783159308715,The Thirteenth Tale,Diane Setterfield,Mystery,2006,2
9787176459573,"In a Dark, Dark Wood",Ruth Ware,Thriller,2015,3
9781360223704,The Guest List,Lucy Foley,Thriller,2020,4
9780840420558,The Quiet Tenant,Clemence Michallon,Thriller,2023,1
9780709656302,Tell No One,Harlan Coben,Thriller,2001,2
9789740325017,Magpie Murders,Anthony Horowitz,Mystery,2016,3
9782933301126,In Cold Blood,Truman Capote,True Crime,1966,4
9786124811609,The Year of Magical Thinking,Joan Didion,Memoir,2005,1
9782307695332,The Orchid Thief,Susan Orlean,True Crime,1998,2
9780274086610,Midnight in the Garden of Good and Evil,John Berendt,True Crime,1994,3
9781219738359,Quiet: The Power of Introverts,Susan Cain,Psychology,2012,4
9784276103160,The Power of Habit,Charles Duhigg,Psychology,2012,1
9782763222318,Grit,Angela Duckworth,Psychology,2016,2
9782770043883,Mindset,Carol Dweck,Psychology,2006,3
9780658804939,Give and Take,Adam Grant,Business,2013,4
9781984558305,Essentialism,Greg McKeown,Self-Help,2014,1
9780352314369,Factfulness,Hans Rosling,Science,2018,2
9782415297114,The Better Angels of Our Nature,Steven Pinker,History,2011,3
9782531508989,"Guns, Germs, and Steel",Jared Diamond,History,1997,4
9789338411306,An Immense World,Ed Yong,Science,2022,1
9788710406961,Entangled Life,Merlin Sheldrake,Science,2020,2
9784333218301,Braiding Sweetgrass,Robin Wall Kimmerer,Science,2013,3
9782069350654,Silent Spring,Rachel Carson,Science,1962,4
9783532945544,A Sand County Almanac,Aldo Leopold,Science,1949,1
9787702211538,The Professor and the Madman,Simon Winchester,History,1998,2
9786989187154,The River of Doubt,Candice Millard,History,2005,3
9787505059979,In the Heart of the Sea,Nathaniel Philbrick,History,2000,4
9784973743010,Ghost Soldiers,Hampton Sides,History,2001,1
9788136027085,Empire of the Summer Moon,S.C. Gwynne,History,2010,2
9785617215597,The Worst Hard Time,Timothy Egan,History,2006,3
9784514735641,The Warmth of Other Suns,Isabel Wilkerson,History,2010,4
9780649021956,Between the World and Me,Ta-Nehisi Coates,Memoir,2015,1
9780357452622,Just Mercy,Bryan Stevenson,Memoir,2014,2
9782970903345,Evicted,Matthew Desmond,History,2016,3
9783362891004,Nickel and Dimed,Barbara Ehrenreich,History,2001,4
